answer1,answer2,label,berttrained
rotiert,"schwingt bei vertikaler Polarisation der elektrische Feldvektor zwischen oben und unten, bei horizontaler Polarisation zwischen links und rechts",0.0,0.17422913014888763
in Blautönen gehaltenen Außenwände,Blaues,1.0,0.5799956321716309
'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,-0.04006487876176834
aus dem englischen,"von  ‚Geißel‘, ‚Seuche‘ und lat.  ‚töten‘",0.0,0.20662127435207367
Ramadan-Monat,sind üblicherweise an den Rändern der Koranexemplare markiert,0.0,0.29183390736579895
"denn es ist eine beliebte Praxis, verteilt auf die dreißig Ramadan-Nächte, eine Chatma, also eine Komplettlesung des Korans, vorzunehmen",Sie finden vor allem in der Liturgie Verwendung und dienen als Maßeinheiten zur Festlegung von Gebetspensen,0.0,0.3909679353237152
an den Rändern der Koranexemplare markiert,Die Grenzen zwischen den einzelnen Dschuzʾ- und Hizb-Abschnitten befinden sich meistens mitten in einer Sure.,0.0,0.2731170356273651
bis etwa 1 MHz,niedriger,0.0,-0.0023809545673429966
Nährgebiet,Akkumulationsgebiet,2.0,0.48223933577537537
Zehrgebiet,Ablationsgebiet,2.0,0.4181750416755676
Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.2022680640220642
das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.10125903785228729
"An der Gletschersohle sowie den Flanken eines Gletschers kann das Eis oft am anstehenden Gestein festfrieren, wodurch hier keine Bewegung möglich ist.",Auf molekularer Ebene besteht Eis aus übereinanderliegenden Molekülschichten mit relativ schwachen Bindungskräften zwischen den einzelnen Schichten,0.0,0.47613805532455444
am Golf von Mexiko in der Golfküstenebene,Südküste,0.0,0.21580372750759125
Johads,Johad,2.0,0.82212895154953
die alten traditionellen Methoden des Regenwassersammelns zu dokumentieren und Pilotprojekte aufzubauen,Die Menschen werden jetzt wieder verstärkt in die Wasserversorgung einbezogen,0.0,0.31969061493873596
Sheffield United,Brian Deane,0.0,0.15424518287181854
"USA, in Kanada und in Australien (hier nur umgangssprachlich)","in den USA vor allem zum American Football, in Kanada zum Canadian Football und in Australien zum Australian Football",1.0,0.6402071714401245
Baktrien,Afghanistan und Pakistan,0.0,0.087797150015831
Die Anzahl der Einwohner wird in unterschiedlichen Quellen nicht einheitlich angegeben.,"Für das Jahr 2017 wird die Einwohnerzahl bei den Vereinten Nationen mit 5,1 Millionen, im CIA World Factbook mit 5,9 Millionen
und bei Statista mit 6,7 Millionen angegeben",1.0,0.16411082446575165
Im internationalen Vergleich ist die Versorgungsquote mit Verhütungsmitteln in Eritrea schlecht.,nur 7 % der verheirateten Frauen Zugang zu modernen Verhütungsmitteln,1.0,0.1659851223230362
Das Betreten – außer zum Be- und Entladen – sowie die Mitfahrt sind verboten.,"Ein Güteraufzug ist nach der bisherigen deutschen Aufzugsverordnung eine Aufzugsanlage, die ausschließlich zum Transport von Gütern ohne die Begleitung von Personen gedacht ist.",1.0,0.5035668611526489
durch die jahrelange öffentliche Abwesenheit,"Für viele Untertanen wurde die „Witwe von Windsor“ („Widow of Windsor“) zu einer etwas wunderlichen Einsiedlerin im Witwenkleid, einer entrückten Gestalt, ehrfurchtgebietend und über ein weltumspannendes Imperium herrschend",0.0,-0.0068829054944217205
-lijer,op,0.0,0.46586814522743225
Neben Krankheiten basiert der pejorative Wortschatz vor allem auf Geschlechtsteilen und Sexualität.,Krankheiten,1.0,0.33719131350517273
500 MB/s,5 Gbit/s,0.0,0.5678843855857849
23 Uhr,23.00 Uhr,2.0,0.9293212890625
„Last Order“,eine Glocke,0.0,0.1909814029932022
1897,23. September 1896,0.0,0.5532207489013672
"Indianerstämmen der Muskogee, der Seminolen, der Cherokee, der Choctaw und der Chickasaw zu (den „Fünf zivilisierten Nationen“), die aus den östlichen Staaten vertrieben wurden. Etwa 50.000 Menschen wurden nach Oklahoma getrieben, wo sie auf bereits ansässige andere Indianerstämme trafen.",Umsiedlung,1.0,0.3606145679950714
Großer Schneesturm,wegen eines Unwetters,1.0,0.2884356677532196
Nationalstaatsidee,einem vereinten deutschen Staat,1.0,0.34317854046821594
Pädagogen Friedrich Fröbel,Fröbel,2.0,0.6621343493461609
Meyers Konversations-Lexikon,Brockhaus Enzyklopädie,0.0,0.21697752177715302
für höhere Organismen nur relativ schwach giftig,"So kann ein Mensch täglich 0,04 Gramm Kupfer zu sich nehmen, ohne Schaden an seiner Gesundheit zu erleiden",1.0,0.15833380818367004
unter 2 %,"nahe, aber unter 2 %",2.0,0.8098881840705872
vis viva,lebendigen Kräfte,2.0,0.4540884792804718
Behandlung der elastischen Deformation,Lösung der Bewegungsgleichungen vor allem in der Himmelsmechanik,0.0,0.291725754737854
das Funktionsprinzip der Dampfmaschine,"Der Physiker Nicolas Carnot erkannte, dass beim Verrichten von mechanischer Arbeit eine Volumenänderung des Dampfs nötig ist. Außerdem fand er heraus, dass die Abkühlung des heißen Wassers in der Dampfmaschine nicht nur durch Wärmeleitung erfolgt",1.0,0.5407040119171143
Thayendanegea,Joseph Brant,2.0,0.22826577723026276
die junge weiße Frau Mayella vergewaltigt zu haben,Vergewaltigung,1.0,0.3961643874645233
der Verurteilte wird kurz nach dem Prozess bei einem Fluchtversuch erschossen,Am Ende des Romans begleitet Scout ihren Nachbarn Boo wieder zurück in sein Haus,0.0,0.084091417491436
"veredelte, geschmückte und verzierte, oft aufwendig bearbeitete Papiererzeugnisse die von etwa 1820/1860 bis 1920/1930 hergestellt wurden, als es eine eigene Luxuspapierindustrie gab","Andachts- und Fleißbildchen, viele Ansichts- (Leporello), Gelegenheits- (Glückwunsch-, Weihnachts- und Neujahrskarten) und Bildpostkarten (Motivkarten), verzierte Briefbogen, Etiketten, allerlei Papierspielzeug (Papiertheater), Reklamemarken und Sammelbilder und vieles mehr",0.0,0.35551899671554565
Die Partei der Demokratischen Revolution,Movimiento Progresista,1.0,0.5114434361457825
"Die Sprachwahl war, neben den stilisierbaren Protagonisten des „Wettrennens ins All“, den „Helden“, einer der Gründe für die Popularität der Raumfahrt in den 60ern. Durch diese Sprachwahl konnte ein breiteres Publikum angesprochen werden, ein hochpolitisches Thema wurde für breite Massen dadurch „lesbar“, beziehungsweise damit aufbereitet.",Politik und Medien glorifizierten in den 1960ern das Ringen um kosmische Überlegenheit und allgemeine Begeisterung für den Schauplatz und seine Akteure,2.0,0.5041088461875916
Das objektive Jagdrecht,Jagdrecht,2.0,0.7828755974769592
Generell bilden Regelungen zum rechtlichen Status des Wildes und zum Inhaber des subjektiven Jagdrechts,Frankfurter Reichsverfassung vom 28. März 1849,0.0,0.06603400409221649
weitergehende Regelungen,"z. B. Restriktionen zu den jagdbaren Wildarten, Jagd- und Schonzeiten für das jagdbare Wild, Verbote bestimmter Jagdwaffen und -methoden, Voraussetzungen für Ausstellung eines Jagdscheins, Meldepflichten für erlegtes Wild, Vorschriften zum Umgang mit Wildbret und zahlenmäßige oder qualitative Begrenzungen beim Erlegen von jagdbaren Wild",1.0,0.32576969265937805
"Zum einen können die Genprodukte der Chromosomen direkt in den Zellen wirken, in denen sie exprimiert werden. Zum anderen bedingen die Gonosomen die Entwicklung der Gonaden, die die Geschlechtshormone bilden.","Geschlechtshormone, wie Testosteron und die Östrogene, wirken nicht nur auf die Keimdrüsen, sondern in vielfältiger Weise auf das gesamte Nervensystem: auf Nervenzellen, Synapsen, Genexpression",0.0,0.6918613314628601
die NATO,syrischen Geheimdienst,0.0,0.3464708924293518
Nintendo Advanced Video System,Famicom,0.0,0.16244511306285858
"Bei Allergien, auch als Überempfindlichkeitsreaktion bezeichnet",so genannten Autoimmunerkrankungen,1.0,0.37021005153656006
"Der Berstwiderstand gibt den benötigten Druck an, um ein Papier zum Bersten zu bringen.","Druck, der zum Durchstoßen des Papiers erforderlich ist",2.0,0.7435669898986816
das Fehlen des vokalisierten «L»,die Übernahme einiger Wörter aus dem früheren Unterschichtsquartier Matte,0.0,0.15114350616931915
am 24. November 1859,1859,1.0,0.7860345244407654
derjenigen anderer früher indogermanischer Völker ähnlich,"In den Naturerscheinungen, besonders den Phänomenen des Himmels, sahen die Slawen wirkliche Wesen, die sie sich mit Denken und Empfinden ausgestattet vorstellten, einige wohltätig, andere zerstörend wirkend",0.0,0.23147307336330414
bog,"Svarog (der ''Schöpfer''), als Urheber des Donners heißt er Perun (balt. ''Perkunas'')",0.0,0.16729193925857544
Erich Wolfgang Skwara,Raoul Schrott,0.0,0.4340289533138275
"Friedrich II. die österreichische Provinz Schlesien erobert und versuchte, sie mittels eines Bündnissystems gegen eine mögliche Rückeroberung zu behaupten.
* Österreich unter Mar",den preußischen König Friedrich II. (1712–1786) außenpolitisch zu isolieren,0.0,0.36417555809020996
die zahlreichen Brunnen in der Stadt rund um den See,dieser künstliche See mit Namen Gadisar,0.0,0.4207432270050049
"die Hauptgruppen sind: die Einsicht in die Lehre, ihre ethischen Grundlagen und die Schwerpunkte des geistigen Trainings (Meditation/Achtsamkeit)",dreigeteilt,1.0,0.048099443316459656
"da im Gegensatz zu anderen Materialien bei Blei keine Wirkschwelle benannt werden kann, unter der die Aufnahme von Blei gesundheitlich unbedenklich ist.",aus Gründen des Umweltschutzes (siehe Bleibelastung der Umwelt) und gesundheitlichen Gründen (siehe Bleivergiftung),1.0,0.5100023746490479
vorzugsweise bei Sendern hoher Leistung,bei großen hochfrequenten Strömen und Spannungen im Kilovolt-Bereich,0.0,0.5267249345779419
bei großen hochfrequenten Strömen und Spannungen im Kilovolt-Bereich,vorzugsweise bei Sendern hoher Leistung,0.0,0.5267249345779419
51. Bundesstaat,Democrats Abroad,0.0,0.14741891622543335
"die dann unter der Bezeichnung „Rationalismus“ zusammengefasst werden. Diese Positionierung dient vor allem der Distanzierung des Empirismus von traditionellen, scholastisch-rationalistischen Auffassungen.
Diese Auffassungen gehen davon aus, dass Weltwissen auch aus reinem Denken möglich ist oder dieses reine Denken sogar die primäre oder ausschließliche Erkenntnisquelle ausmache.",Rationalismus,1.0,0.37477433681488037
"Unter Einhaltung dieser Bedingungen weicht sie möglichst wenig von der örtlichen Sonnenzeit ab. Die Differenz zwischen der örtlichen Sonnenzeit und der Zonenzeit eines Ortes ist östlich des Mittelmeridians negativ und westlich davon positiv, und sofern die Grenzen der Zeitzonen in etwa mit ihrer natürlichen Lage übereinstimmen – was heute oft nicht mehr zutrifft –, ist der Betrag dieser Differenz im Jahresmittel nirgends wesentlich größer als eine halbe Stunde.",Die Sommerzeit ist damit gleich der Zonenzeit der östlich benachbarten Zeitzone,1.0,0.5558189153671265
die Zonenzeit in der Mitteleuropäischen Zeitzone mit dem Bezugsmeridian der geographischen Länge 15° Ost,die Mitteleuropäische Zeit,2.0,0.4143475890159607
"eingeschleppte Krankheiten, Strafexpeditionen, Umsiedlungen und Zwangsarbeit",Krankheiten,1.0,0.31872615218162537
Downtown Houston,Houston,1.0,0.8602399230003357
Gewaltenteilung,die fehlende Trennung zwischen Exekutive (ausübende) und Legislative (gesetzgebende Gewalt),2.0,0.5237685441970825
Eine anhaltende erhöhte Zinkzufuhr kann zu Kupfermangel und Störungen in der Blutbildung führen.,"ab 200 mg können Symptome wie Übelkeit, Erbrechen oder auch Durchfall auftreten. Beim Menschen führt die Aufnahme von Zink ab etwa 2 g zu akuten Vergiftungserscheinungen",1.0,0.4361324906349182
Außenrufe und Innenkommandos,Eingabe eines Fahrtwunsches über die Außentableaus (Ruf) oder vom Kabinentableau (Kommando),2.0,0.5584980249404907
einer ca. 200.000 Jahre alten Fundstelle aus der Zeit des Neandertalers an einem ehemaligen Seeufer bei Frankleben in Sachsen-Anhalt,Hinweis auf das Gerben von Tierhäuten,0.0,0.17055636644363403
Die Effektivität als Kleidung wurde durch die Erfindung des Nähens erheblich gesteigert,da Kleidung nun geschlossen und dem menschlichen Körperbau angepasst werden konnte,0.0,0.46083521842956543
Haus Oranien,von Oranien,2.0,0.8045040369033813
"dass sich der Vater, als er bei der Meldung der Geburt zurückrechnete, eine Woche zu viel zählte und fälschlicherweise den 22. Februar als Geburtstag seines Sohnes eintragen ließ","Die beiden Urkunden verzeichnen als Geburtsdatum den 22. Februar 1810, aber sowohl Chopin als auch seine Mutter gaben als Geburtstag den 1. März 1810 an",0.0,0.5433586835861206
durch Schlafmangel und Dehydrierung ausgelösten temporären Psychose,wegen eines Nervenzusammenbruchs,1.0,0.4679713547229767
etwas über einer Million Einwohnern,659.433 Einwohnern (2009),0.0,0.06533332169055939
acht,acht Stadtbezirke,2.0,0.6858016848564148
Eklogen,''Eklogen'' oder ''Bucolica'',1.0,0.5311673879623413
"nur bis eine Gigawattstunde pro Jahr die EEG-Umlage in voller Höhe berechnet. Für den Energieanteil zwischen einer und 10 Gigawattstunden sind 10 % der EEG-Umlage zu bezahlen, zwischen 10 und 100 Gigawattstunden nur noch 1 % der EEG-Umlage.","Die Deutsche Bahn AG sah sich bei deren Umsetzung mit Mehrausgaben von jährlich 500 Millionen Euro belastet, von denen 137 Millionen Euro durch den möglichen Entfall der geminderten EEG-Umlage entstehen würden und 350 Millionen Euro durch die mögliche Einführung der EEG-Umlage für selbsterzeugten Strom",0.0,0.4175104796886444
"Männer, denen das Wahlrecht zustand, waren automatisch registriert, Frauen mussten einen besonderen Antrag stellen, um ihre politischen Rechte ausüben zu können","Für Männer bestand Wahlpflicht, für Frauen nicht",0.0,0.5143438577651978
muslimische Gemeinden,"Kimbanguisten, sowie neuapostolische Christen",0.0,0.15074555575847626
"Im Gegensatz zu den meisten anderen Religionen und zum Synkretismus führte der wachsende Ausschließlichkeitsanspruch des Christentums zur Verweigerung gegenüber dem Kaiserkult und damit der römischen Autorität,","Dies führte zu Maßnahmen gegen die beiden Religionen, die mit dem Polytheismus unvereinbar zu sein schienen",0.0,0.4640060067176819
313 n. Chr.,311 n. Chr.,0.0,0.8424124121665955
da diese immer nur einen Einzelfall repräsentierten,"Klassischerweise schränken viele Empiristen die intuitiv-deduktive Form des Wissens auf die Verhältnisse zwischen den Begriffen ein, die bestenfalls die Operationen des eigenen Verstandes repräsentieren",0.0,0.1839151531457901
durch das Metrum,die Schwingung selbst und jede denkbare praktische Involvierung,0.0,0.25728145241737366
als elementare Voraussetzung der Musik,Musik ist von den Künsten der Zeit am nächsten,0.0,0.4722966253757477
besonders flüchtig,Medium in der Zeit,0.0,0.2696242332458496
Goring House,Buckinghams Haus,2.0,0.35340866446495056
1703,etwa 1633,0.0,0.44605356454849243
nach seinem Kurzfilm ''Amblin'',Amblin Entertainment,0.0,0.5662757754325867
16. Dezember 2015,1982,0.0,0.1543067842721939
Anthony Porter,Porter,1.0,0.7318537831306458
die klassische Periode der japanischen Literatur,"Am Hof von Heian wurden die japanische Kultur, Kunst und Sitten zu außerordentlicher Verfeinerung geführt",0.0,0.34776344895362854
Hiragana,onna-de,0.0,0.3007577955722809
Familie Fujiwara,Fujiwara-Familie,2.0,0.9510937929153442
durch ihre geschickte Heiratspolitik,der vier seiner Töchter an Kaiser verheiratete,1.0,0.21455346047878265
die ''Genji'' (''Minamoto'') und die ''Heike'' (''Taira''),"als die Taira ihre Macht durch Einheirat in die kaiserliche Familie etabliert hatten, erhoben sich die Genji wieder und der ''Gempei-Krieg'' entbrannte",1.0,0.4201734960079193
Klan der Taira,Taira,2.0,0.803586483001709
Point after Touchdown,Field Goal,1.0,0.4032650589942932
ASPTT Strasbourg,Racing Straßburg,0.0,0.7871525883674622
"Jung-, Spät- und Endneolithikum",Beginn der Metallverarbeitung im Schmelzverfahren,0.0,0.22040848433971405
Der kanadische Premierminister,Brian Mulroney,1.0,0.13468340039253235
den Nobelpreis für Physiologie oder Medizin,die Gewinnung monoklonaler Antikörper,0.0,0.23840950429439545
Graphitrohr-AAS,Polarographie,0.0,0.13708889484405518
Allen Welsh Dulles,"Dulles, der zwischen 1953 und 1961 als Direktor der CIA fungierte, war neben George Tenet am längsten an der Spitze der amerikanischen Auslandsspionage",1.0,0.2341931015253067
von Parlamentariern,Einflussreiche Bürger,1.0,0.3077273964881897
Ramon Llull,Grafen von Barcelona und des nachfolgenden katalanisch-aragonesischen Staatenbunds,0.0,0.04271853715181351
"Weitere beliebte Insekten der Terrarianer sind Stabheuschrecken, Fangschrecken und verschiedene Käfer- und Schabenarten, außerdem werden Mehlkäferlarven (Mehlwürmer), Grillen und andere Insekten als Futtertiere für Reptilien und andere Heimtiere sowie als Angelköder gezüchtet. Eine Entwicklung der letzten Jahrzehnte ist die Haltung von Schmetterlingen in großen Gewächshäusern, die als Schmetterlingshäuser für Besucher geöffnet werden und an manchen Orten zu den Sehenswürdigkeiten der Region werden.","die Ameisen,",0.0,0.34232354164123535
„Reflexionen“,Reflections on the Revolution in France,1.0,0.3838115930557251
"eine scharfe Kritik an den damals in Frankreich nach der Revolution von 1789 herrschenden Zuständen und Entwicklungen, die schließlich in der Terrorherrschaft der Jakobiner 1793/1794 mündeten.",Revolution in Frankreich,1.0,0.4391518235206604
Milladoiro oder Fuxan os Ventos,Milladoiro,1.0,0.4342637360095978
Jonas Bronck,"Nachfolgende niederländische und englische Siedler bezeichneten den von ihm in der Gegend erworbenen Grund bald als „Bronck’s Land“ und um einen dortigen Besuch anzukündigen, sagte man damals: „We are going to ''the Bronck’s''“",0.0,0.50849848985672
durch wachsende Arbeitsmigration seit den 1950er-Jahren,Nicht alle Einwohner Deutschlands sind deutsche Staatsangehörige und nicht alle deutschen Staatsangehörigen sind ethnische Deutsche,0.0,-0.05029485747218132
im Landesinneren,Südosten,0.0,0.24839302897453308
18 Kilometer,"201,7 Kilometern",0.0,0.19909262657165527
Hayek erweiterte seine Sozialismuskritik um eine Theorie der „kulturellen Evolution“ und des menschlichen Zusammenlebens in arbeitsteiligen Gesellschaften,wesentlich beeinflusst,,-0.03496255353093147
Hindi,Pahari,0.0,0.16211804747581482
"einen der Dialekte, die unter dem Oberbegriff Pahari zusammengefasst werden",Hindi,0.0,0.1962471604347229
Während der Zeit des Nationalsozialismus verfolgte der NS-Staat die Bevölkerungsminderheit mit rassistischer Zielsetzung und führte ab 1933 eine fortlaufend verschärfte Gesetzgebung ein: die Nürnberger Gesetze und ähnliche Bestimmungen.,"Verfolgung und Beraubung – zum Teil mittels Arisierung, Ghettoisierung und Inhaftierungen, Deportation – und als Grundlage für die systematischen und über Jahre fortgeführten Massenmorde während der Schoah / des Holocausts",1.0,0.4731857180595398
Reichsbürgergesetz – Erste Verordnung vom 14. November 1935,die Nürnberger Gesetze,1.0,0.2158118337392807
"An einem praktischen Beispiel erklärt bedeutet dies, dass ein Geheimdienst nicht erst mit einem Kommando Kontakt aufnehmen muss, welches dann über mehrere Soldaten in der Hierarchie eine Ausschaltung eines Ziels anordnet, sondern dass alle Aufklärungseinheiten alle verfügbaren Informationen in eine von mehreren Stellen abrufbare Datenbank eingeben, worauf Einheiten eigenständig reagieren können. Faktisch bedeutet dies eine Annäherung an die Auftragstaktik",die totale Vernetzung aller am Kampf beteiligten Elemente,0.0,0.2538229823112488
am 7. Juli 1837,7. Juli 1837,2.0,0.9876154661178589
Die aktuelle tatsächliche Netzfrequenz ist unter anderem von der aktuellen Nachfrage und dem aktuellen Angebot an elektrischer Energie abhängig und daher schwankend.,"99,5 % eines Jahres und 15,67 Hertz bis 17,33 Hertz während der restlichen 0,5 % eines Jahres",0.0,0.06144605576992035
dass Gott die Welt mit allen Naturgesetzen geschaffen habe und nun ihrer gesetzlichen Bewegung überlasse,Schöpfer,1.0,0.24363701045513153
"Unter ''Kommunikation'' wird dann ein soziales Handeln verstanden, das durch ''Kommunikationsziele'' und ''Kommunikationszwecke'' bestimmt ist.","nicht nur etwas zu zeigen, sondern auch zu zeigen, dass man etwas zeigt",0.0,0.13230684399604797
"über Mitgliederbeiträge, Spenden, Zuschüsse, Preise oder Gebühren","zu 53 % über Entschädigungen für Dienstleistungen, zu 35 % über Staatsbeiträge und nur zu 12 % über Spendeneinnahmen",1.0,0.3206522464752197
neun Jahren,1986–1995,1.0,0.17027373611927032
direkt an einem Verbrennungsmotor bei Temperaturen bis zu 600 °C,Hochtemperaturanwendungen,1.0,0.16655875742435455
Ordre de la Libération,"„Fluctuat nec mergitur“ (etwa: „Sie verändert sich, geht aber nicht unter“ oder „Sie schwankt, aber sie geht nicht unter“)",0.0,-0.008373845368623734
in Stuttgart mit der internationalen Juniorenmeisterschaft ''„Bestgebauter Athlet“'',in der Juniorenklasse Österreichischer Staatsmeister,0.0,0.4116024374961853
Mr. Olympia,der Titel des ''Mr. Olympia'',2.0,0.833673357963562
Sergio Oliva,Oliva,1.0,0.7292686700820923
Detroit Tigers,Die Detroit Tigers,2.0,0.9901731014251709
"Wichtig ist, dass jeder gegnerische, passempfangsberechtigte Spieler gedeckt ist","beinhaltet alle Spieler, die die gegnerischen Spieler decken, die einen Pass fangen dürfen",1.0,0.7365999817848206
"Zusammenschluss des City and Guilds College, der Royal School of Mines sowie des Royal College of Science.",1907,0.0,0.04246686398983002
"Im engeren Sinn bezeichnet man als Haushund die Hunde, die überwiegend im Haus gehalten werden, und kennzeichnet damit also eine Haltungsform. Historisch wurde ein Hund, der zur Bewachung des Hauses gehalten wird, als Haushund bezeichnet. Eine weitere Verwendung des Begriffs ist die Einschränkung auf sozialisierte (Haus-)Hunde, also Hunde, die an das Zusammenleben mit Menschen in der menschlichen Gesellschaft gewöhnt und an dieses angepasst sind.",ein Haustier und wird als Heim- und Nutztier,0.0,0.5373055338859558
"Während der heftigen Kämpfe, bei denen die Chinesen die weit aufgefächerte Front der Japaner am Fluss Xinqiang erfolgreich von Norden und Süden attackierten, setzten die Japaner auch Giftgas ein.",Schlacht um Changsha,0.0,0.16015185415744781
Humphrey Gilbert,Gilbert,1.0,0.781801164150238
am Markt und der Angemessenheit,üblicherweise nach der angemessenen Lizenzvergütung,0.0,0.4415932297706604
34 %,"9,2 Mtoe",0.0,0.05913704261183739
"Fehlender Nachschub, Krankheiten sowie ständige Angriffe der russischen Kosaken setzten den französischen Truppen schwer zu.","litten unter Hunger, Krankheiten, Schnee und Kälte",0.0,0.40242841839790344
eher seltenes,"In der Periode von 1999 bis 2002 hagelte es im Emmental, im Laufental und im Toggenburg am im Jahresdurchschnitt bis zu 60 Minuten, in den anderen Regionen waren es unter 30 Minuten",0.0,0.19733111560344696
