,answer1,answer2,label,bert_score_prime
131,Ordre de la Libération,"„Fluctuat nec mergitur“ (etwa: „Sie verändert sich, geht aber nicht unter“ oder „Sie schwankt, aber sie geht nicht unter“)",0.0,0.4693036675453186
137,"Zusammenschluss des City and Guilds College, der Royal School of Mines sowie des Royal College of Science.",1907,0.0,0.5353405475616455
11,das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.5373587012290955
110,"Weitere beliebte Insekten der Terrarianer sind Stabheuschrecken, Fangschrecken und verschiedene Käfer- und Schabenarten, außerdem werden Mehlkäferlarven (Mehlwürmer), Grillen und andere Insekten als Futtertiere für Reptilien und andere Heimtiere sowie als Angelköder gezüchtet. Eine Entwicklung der letzten Jahrzehnte ist die Haltung von Schmetterlingen in großen Gewächshäusern, die als Schmetterlingshäuser für Besucher geöffnet werden und an manchen Orten zu den Sehenswürdigkeiten der Region werden.","die Ameisen,",0.0,0.5580503940582275
118,Hayek erweiterte seine Sozialismuskritik um eine Theorie der „kulturellen Evolution“ und des menschlichen Zusammenlebens in arbeitsteiligen Gesellschaften,wesentlich beeinflusst,,0.5610851645469666
29,"Indianerstämmen der Muskogee, der Seminolen, der Cherokee, der Choctaw und der Chickasaw zu (den „Fünf zivilisierten Nationen“), die aus den östlichen Staaten vertrieben wurden. Etwa 50.000 Menschen wurden nach Oklahoma getrieben, wo sie auf bereits ansässige andere Indianerstämme trafen.",Umsiedlung,1.0,0.5645533204078674
125,Die aktuelle tatsächliche Netzfrequenz ist unter anderem von der aktuellen Nachfrage und dem aktuellen Angebot an elektrischer Energie abhängig und daher schwankend.,"99,5 % eines Jahres und 15,67 Hertz bis 17,33 Hertz während der restlichen 0,5 % eines Jahres",0.0,0.5732684135437012
114,Jonas Bronck,"Nachfolgende niederländische und englische Siedler bezeichneten den von ihm in der Gegend erworbenen Grund bald als „Bronck’s Land“ und um einen dortigen Besuch anzukündigen, sagte man damals: „We are going to ''the Bronck’s''“",0.0,0.5777132511138916
126,dass Gott die Welt mit allen Naturgesetzen geschaffen habe und nun ihrer gesetzlichen Bewegung überlasse,Schöpfer,1.0,0.580530047416687
144,eher seltenes,"In der Periode von 1999 bis 2002 hagelte es im Emmental, im Laufental und im Toggenburg am im Jahresdurchschnitt bis zu 60 Minuten, in den anderen Regionen waren es unter 30 Minuten",0.0,0.5811181664466858
3,aus dem englischen,"von  ‚Geißel‘, ‚Seuche‘ und lat.  ‚töten‘",0.0,0.582169771194458
204,24576 kB/s,drei Übertragungen je Micro-Frame (125 µs) mit bis zu 1024 Byte ausführen,2.0,0.5822963118553162
362,81,gut 81 Prozent,1.0,0.5845957398414612
195,eine Vielzahl von Mechanismen,"Ein Weg ist die Steuerung über die Rate ihrer Transkription in hnRNA. Ein anderer Weg ist der Abbau der mRNA, bevor sie beispielsweise über siRNA translatiert wird. Kurzfristig erfolgt die Genregulation durch Bindung und Ablösung von Proteinen, sogenannten Transkriptionsfaktoren, an spezifische Bereiche der DNA, die sogenannten „regulatorischen Elemente“. Langfristig wird dies über Methylierung oder das „Verpacken“ von DNA-Abschnitten in Histon­komplexe erreicht",1.0,0.5857430100440979
56,bog,"Svarog (der ''Schöpfer''), als Urheber des Donners heißt er Perun (balt. ''Perkunas'')",0.0,0.5887960195541382
138,"Im engeren Sinn bezeichnet man als Haushund die Hunde, die überwiegend im Haus gehalten werden, und kennzeichnet damit also eine Haltungsform. Historisch wurde ein Hund, der zur Bewachung des Hauses gehalten wird, als Haushund bezeichnet. Eine weitere Verwendung des Begriffs ist die Einschränkung auf sozialisierte (Haus-)Hunde, also Hunde, die an das Zusammenleben mit Menschen in der menschlichen Gesellschaft gewöhnt und an dieses angepasst sind.",ein Haustier und wird als Heim- und Nutztier,0.0,0.5908325910568237
127,"Unter ''Kommunikation'' wird dann ein soziales Handeln verstanden, das durch ''Kommunikationsziele'' und ''Kommunikationszwecke'' bestimmt ist.","nicht nur etwas zu zeigen, sondern auch zu zeigen, dass man etwas zeigt",0.0,0.592791736125946
147,in vielen Bereichen des täglichen Lebens,"Bauindustrie, Ernährungs- und Getränkeindustrie, Kraftfahrzeugindustrie, Elektro(nik)industrie, Haushalt und Gastronomie, Medizin, Forschung und Wissenschaft, Chemie, Pharmazie, Kosmetik, Möbelindustrie und Innenausbau, Kunststoff- und Textilindustrie",1.0,0.5938740372657776
64,51. Bundesstaat,Democrats Abroad,0.0,0.5975887775421143
193,problemlos,"Es existiert keine gesetzliche Bestimmung, die das einschränkt",1.0,0.599327802658081
2,'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,0.6016255021095276
115,durch wachsende Arbeitsmigration seit den 1950er-Jahren,Nicht alle Einwohner Deutschlands sind deutsche Staatsangehörige und nicht alle deutschen Staatsangehörigen sind ethnische Deutsche,0.0,0.6021087765693665
178,Den ersten dieser Freundschaftsverträge,"die Verpflichtung zur gegenseitigen Hilfeleistung unterzeichnet, um alle gewaltsamen militärischen Handlungen, die sich gegen die territoriale Integrität und Souveränität einer Vertragspartei richteten, zu verhindern.",0.0,0.6025911569595337
148,"Allerdings befinden sich Schulen und besonders Hochschulen in außerordentlich schlechtem Zustand. Hinzu kommt, bedingt durch ausbleibende Gehaltszahlungen, die geringe Motivation der Lehrkräfte und die enorme Zahl an Streiks, weswegen der Unterricht zuweilen vollständig unterbleibt.","Betrug der Bildungsetat 1985 noch 12,2 Prozent des Bruttoinlandsprodukts, so sanken die Ausgaben 2003 auf 4,6 Prozent",0.0,0.6038304567337036
104,Der kanadische Premierminister,Brian Mulroney,1.0,0.6048137545585632
107,Allen Welsh Dulles,"Dulles, der zwischen 1953 und 1961 als Direktor der CIA fungierte, war neben George Tenet am längsten an der Spitze der amerikanischen Auslandsspionage",1.0,0.6078023910522461
167,Tigran Petrosjan,Armenier,1.0,0.6120913624763489
168,Khoren Gevor,Europameister,0.0,0.612095057964325
202,Die beiden Staaten pflegen deshalb auch derzeit keine diplomatischen Beziehungen und befinden sich heute noch im Kriegszustand.,belastet,1.0,0.6131308674812317
200,Aschraf Marwan,Der Ehemann von Nassers Tochter Mona,2.0,0.6154906749725342
55,derjenigen anderer früher indogermanischer Völker ähnlich,"In den Naturerscheinungen, besonders den Phänomenen des Himmels, sahen die Slawen wirkliche Wesen, die sie sich mit Denken und Empfinden ausgestattet vorstellten, einige wohltätig, andere zerstörend wirkend",0.0,0.6156777143478394
60,"die Hauptgruppen sind: die Einsicht in die Lehre, ihre ethischen Grundlagen und die Schwerpunkte des geistigen Trainings (Meditation/Achtsamkeit)",dreigeteilt,1.0,0.6157515645027161
23,-lijer,op,0.0,0.6163785457611084
73,einer ca. 200.000 Jahre alten Fundstelle aus der Zeit des Neandertalers an einem ehemaligen Seeufer bei Frankleben in Sachsen-Anhalt,Hinweis auf das Gerben von Tierhäuten,0.0,0.6180810928344727
130,direkt an einem Verbrennungsmotor bei Temperaturen bis zu 600 °C,Hochtemperaturanwendungen,1.0,0.6188876032829285
5,"denn es ist eine beliebte Praxis, verteilt auf die dreißig Ramadan-Nächte, eine Chatma, also eine Komplettlesung des Korans, vorzunehmen",Sie finden vor allem in der Liturgie Verwendung und dienen als Maßeinheiten zur Festlegung von Gebetspensen,0.0,0.6192378401756287
208,Verständigung,eine in der Situation ausreichende Kompatibilität von Erfahrungen bezüglich eines Themas herzustellen,0.0,0.619773805141449
123,"An einem praktischen Beispiel erklärt bedeutet dies, dass ein Geheimdienst nicht erst mit einem Kommando Kontakt aufnehmen muss, welches dann über mehrere Soldaten in der Hierarchie eine Ausschaltung eines Ziels anordnet, sondern dass alle Aufklärungseinheiten alle verfügbaren Informationen in eine von mehreren Stellen abrufbare Datenbank eingeben, worauf Einheiten eigenständig reagieren können. Faktisch bedeutet dies eine Annäherung an die Auftragstaktik",die totale Vernetzung aller am Kampf beteiligten Elemente,0.0,0.619827926158905
109,Ramon Llull,Grafen von Barcelona und des nachfolgenden katalanisch-aragonesischen Staatenbunds,0.0,0.6215476989746094
199,Abschiebungsverbot,"Das Gesetz erlaubt die automatische Ausweisung ausländischer Staatsangehöriger, die als Sicherheitsbedrohung gelten, ohne dass die Betroffenen Rechtsmittel einlegen können",0.0,0.6224201321601868
151,als finster und barbarisch wahrgenommenen,"Wortführer der humanistischen Bewegung grenzten sich von der Vergangenheit der vorhergehenden Jahrhunderte, die man „Mittelalter“ (mittleres Zeitalter) zu nennen begann, scharf und verächtlich ab",0.0,0.6245179176330566
218,die Wahl des konservativen Mahmud Ahmadineschād zum Präsidenten,"Insbesondere seine Wiederwahl im Jahr 2009, die von zahlreichen Manipulationsvorwürfen begleitet wurde",1.0,0.6253510117530823
120,"einen der Dialekte, die unter dem Oberbegriff Pahari zusammengefasst werden",Hindi,0.0,0.6253818869590759
105,den Nobelpreis für Physiologie oder Medizin,die Gewinnung monoklonaler Antikörper,0.0,0.626416802406311
4,Ramadan-Monat,sind üblicherweise an den Rändern der Koranexemplare markiert,0.0,0.6282318830490112
153,"USA weitere in Japan, Korea, Europa sowie auf Guam und Samoa",weltweit,1.0,0.6286376118659973
42,"veredelte, geschmückte und verzierte, oft aufwendig bearbeitete Papiererzeugnisse die von etwa 1820/1860 bis 1920/1930 hergestellt wurden, als es eine eigene Luxuspapierindustrie gab","Andachts- und Fleißbildchen, viele Ansichts- (Leporello), Gelegenheits- (Glückwunsch-, Weihnachts- und Neujahrskarten) und Bildpostkarten (Motivkarten), verzierte Briefbogen, Etiketten, allerlei Papierspielzeug (Papiertheater), Reklamemarken und Sammelbilder und vieles mehr",0.0,0.6288890242576599
10,Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.6291670203208923
27,„Last Order“,eine Glocke,0.0,0.6299391984939575
22,durch die jahrelange öffentliche Abwesenheit,"Für viele Untertanen wurde die „Witwe von Windsor“ („Widow of Windsor“) zu einer etwas wunderlichen Einsiedlerin im Witwenkleid, einer entrückten Gestalt, ehrfurchtgebietend und über ein weltumspannendes Imperium herrschend",0.0,0.6300590634346008
181,Offensive,Die Dislozierung der aufmarschierenden französischen Truppen war jedoch ganz auf diese Offensivbewegung ausgerichtet,1.0,0.630145788192749
182,weit überlegene Infanteriebewaffnung,"Die französischen Chassepotgewehre waren deutlich effizienter und sorgten mit ihrer großen Reichweite und der hohen Schussfrequenz dafür, dass Frontalangriffe der deutschen Truppen für diese meistens mit enormen Verlusten verbunden waren",1.0,0.6304219365119934
217,2009,am 17. Juni 2005,0.0,0.6354648470878601
70,Gewaltenteilung,die fehlende Trennung zwischen Exekutive (ausübende) und Legislative (gesetzgebende Gewalt),2.0,0.6355242729187012
0,rotiert,"schwingt bei vertikaler Polarisation der elektrische Feldvektor zwischen oben und unten, bei horizontaler Polarisation zwischen links und rechts",0.0,0.6355559229850769
103,"Jung-, Spät- und Endneolithikum",Beginn der Metallverarbeitung im Schmelzverfahren,0.0,0.6355912685394287
121,Während der Zeit des Nationalsozialismus verfolgte der NS-Staat die Bevölkerungsminderheit mit rassistischer Zielsetzung und führte ab 1933 eine fortlaufend verschärfte Gesetzgebung ein: die Nürnberger Gesetze und ähnliche Bestimmungen.,"Verfolgung und Beraubung – zum Teil mittels Arisierung, Ghettoisierung und Inhaftierungen, Deportation – und als Grundlage für die systematischen und über Jahre fortgeführten Massenmorde während der Schoah / des Holocausts",1.0,0.6365177631378174
65,"die dann unter der Bezeichnung „Rationalismus“ zusammengefasst werden. Diese Positionierung dient vor allem der Distanzierung des Empirismus von traditionellen, scholastisch-rationalistischen Auffassungen.
Diese Auffassungen gehen davon aus, dass Weltwissen auch aus reinem Denken möglich ist oder dieses reine Denken sogar die primäre oder ausschließliche Erkenntnisquelle ausmache.",Rationalismus,1.0,0.6367682218551636
194,des zweiten buddhistischen Konzils,auf die Mahasanghika („große Gemeinde“),0.0,0.6371116042137146
139,"Während der heftigen Kämpfe, bei denen die Chinesen die weit aufgefächerte Front der Japaner am Fluss Xinqiang erfolgreich von Norden und Süden attackierten, setzten die Japaner auch Giftgas ein.",Schlacht um Changsha,0.0,0.6376520395278931
34,für höhere Organismen nur relativ schwach giftig,"So kann ein Mensch täglich 0,04 Gramm Kupfer zu sich nehmen, ohne Schaden an seiner Gesundheit zu erleiden",1.0,0.6395824551582336
172,Art Zeitungsverlag,in den Comics über die Marvel-Superhelden,0.0,0.6395862698554993
46,Generell bilden Regelungen zum rechtlichen Status des Wildes und zum Inhaber des subjektiven Jagdrechts,Frankfurter Reichsverfassung vom 28. März 1849,0.0,0.6414017677307129
129,neun Jahren,1986–1995,1.0,0.6429656147956848
220,Guinea,bei Bafoulabé,0.0,0.6430568099021912
112,"eine scharfe Kritik an den damals in Frankreich nach der Revolution von 1789 herrschenden Zuständen und Entwicklungen, die schließlich in der Terrorherrschaft der Jakobiner 1793/1794 mündeten.",Revolution in Frankreich,1.0,0.6431602835655212
174,Seestreitmacht der Vereinigten Staaten,Prieble begann eine Blockade der Häfen der Babareskenstaaten. Am 14. Juli 1804 griff er Tripolis direkt an.,0.0,0.6437117457389832
6,an den Rändern der Koranexemplare markiert,Die Grenzen zwischen den einzelnen Dschuzʾ- und Hizb-Abschnitten befinden sich meistens mitten in einer Sure.,0.0,0.6442186236381531
7,bis etwa 1 MHz,niedriger,0.0,0.6445963978767395
58,"Friedrich II. die österreichische Provinz Schlesien erobert und versuchte, sie mittels eines Bündnissystems gegen eine mögliche Rückeroberung zu behaupten.
* Österreich unter Mar",den preußischen König Friedrich II. (1712–1786) außenpolitisch zu isolieren,0.0,0.6478446125984192
47,weitergehende Regelungen,"z. B. Restriktionen zu den jagdbaren Wildarten, Jagd- und Schonzeiten für das jagdbare Wild, Verbote bestimmter Jagdwaffen und -methoden, Voraussetzungen für Ausstellung eines Jagdscheins, Meldepflichten für erlegtes Wild, Vorschriften zum Umgang mit Wildbret und zahlenmäßige oder qualitative Begrenzungen beim Erlegen von jagdbaren Wild",1.0,0.6480405926704407
12,"An der Gletschersohle sowie den Flanken eines Gletschers kann das Eis oft am anstehenden Gestein festfrieren, wodurch hier keine Bewegung möglich ist.",Auf molekularer Ebene besteht Eis aus übereinanderliegenden Molekülschichten mit relativ schwachen Bindungskräften zwischen den einzelnen Schichten,0.0,0.648120105266571
165,entsprechende Vereinbarung zwischen Ausbildungsbetrieb und Auszubildendem sowie die Zustimmung der zuständigen Kammer,berechtigtem Interesse,0.0,0.65147864818573
21,Das Betreten – außer zum Be- und Entladen – sowie die Mitfahrt sind verboten.,"Ein Güteraufzug ist nach der bisherigen deutschen Aufzugsverordnung eine Aufzugsanlage, die ausschließlich zum Transport von Gütern ohne die Begleitung von Personen gedacht ist.",1.0,0.6521313190460205
15,die alten traditionellen Methoden des Regenwassersammelns zu dokumentieren und Pilotprojekte aufzubauen,Die Menschen werden jetzt wieder verstärkt in die Wasserversorgung einbezogen,0.0,0.6527125239372253
44,"Die Sprachwahl war, neben den stilisierbaren Protagonisten des „Wettrennens ins All“, den „Helden“, einer der Gründe für die Popularität der Raumfahrt in den 60ern. Durch diese Sprachwahl konnte ein breiteres Publikum angesprochen werden, ein hochpolitisches Thema wurde für breite Massen dadurch „lesbar“, beziehungsweise damit aufbereitet.",Politik und Medien glorifizierten in den 1960ern das Ringen um kosmische Überlegenheit und allgemeine Begeisterung für den Schauplatz und seine Akteure,2.0,0.6549541354179382
99,die ''Genji'' (''Minamoto'') und die ''Heike'' (''Taira''),"als die Taira ihre Macht durch Einheirat in die kaiserliche Familie etabliert hatten, erhoben sich die Genji wieder und der ''Gempei-Krieg'' entbrannte",1.0,0.656421422958374
215,"ausser der Bundesfeier nur noch drei weitere Tage, die ebenfalls in der gesamten Schweiz anerkannt sind: Neujahr, Auffahrt und der erste Weihnachtsfeiertag.",auf Bundesebene nur der 1. August,0.0,0.6569334864616394
61,"da im Gegensatz zu anderen Materialien bei Blei keine Wirkschwelle benannt werden kann, unter der die Aufnahme von Blei gesundheitlich unbedenklich ist.",aus Gründen des Umweltschutzes (siehe Bleibelastung der Umwelt) und gesundheitlichen Gründen (siehe Bleivergiftung),1.0,0.6571802496910095
98,durch ihre geschickte Heiratspolitik,der vier seiner Töchter an Kaiser verheiratete,1.0,0.6579380035400391
116,im Landesinneren,Südosten,0.0,0.6593601703643799
156,Niederländischen Westindien-Kompanie (WIC),die WIC von der Republik der Sieben Vereinigten Provinzen,2.0,0.660148024559021
1,in Blautönen gehaltenen Außenwände,Blaues,1.0,0.6607993841171265
19,Die Anzahl der Einwohner wird in unterschiedlichen Quellen nicht einheitlich angegeben.,"Für das Jahr 2017 wird die Einwohnerzahl bei den Vereinten Nationen mit 5,1 Millionen, im CIA World Factbook mit 5,9 Millionen
und bei Statista mit 6,7 Millionen angegeben",1.0,0.6615732908248901
82,"Männer, denen das Wahlrecht zustand, waren automatisch registriert, Frauen mussten einen besonderen Antrag stellen, um ihre politischen Rechte ausüben zu können","Für Männer bestand Wahlpflicht, für Frauen nicht",0.0,0.6630651354789734
132,in Stuttgart mit der internationalen Juniorenmeisterschaft ''„Bestgebauter Athlet“'',in der Juniorenklasse Österreichischer Staatsmeister,0.0,0.6637144684791565
179,ab 1966 sowjetische Truppenstationierungen,Beobachterstatus,0.0,0.6638170480728149
164,die drei Diaspora-Gruppen,"viele Gene von einer ursprünglichen jüdischen Bevölkerungsgruppe geerbt haben, die vor rund 3000 Jahren in dem als Levante bezeichneten östlichen Mittelmeerraum lebte",0.0,0.6654071807861328
203,1023 kB/s,bis zu 1023 Byte je isochronem Endpunkt,1.0,0.6660380363464355
210,"die Spanier, Savoyer und Österreicher",Giuseppe Garibaldi,0.0,0.6667792201042175
142,34 %,"9,2 Mtoe",0.0,0.6701591610908508
87,durch das Metrum,die Schwingung selbst und jede denkbare praktische Involvierung,0.0,0.6723642945289612
143,"Fehlender Nachschub, Krankheiten sowie ständige Angriffe der russischen Kosaken setzten den französischen Truppen schwer zu.","litten unter Hunger, Krankheiten, Schnee und Kälte",0.0,0.6726260781288147
41,der Verurteilte wird kurz nach dem Prozess bei einem Fluchtversuch erschossen,Am Ende des Romans begleitet Scout ihren Nachbarn Boo wieder zurück in sein Haus,0.0,0.673481285572052
76,"dass sich der Vater, als er bei der Meldung der Geburt zurückrechnete, eine Woche zu viel zählte und fälschlicherweise den 22. Februar als Geburtstag seines Sohnes eintragen ließ","Die beiden Urkunden verzeichnen als Geburtsdatum den 22. Februar 1810, aber sowohl Chopin als auch seine Mutter gaben als Geburtstag den 1. März 1810 an",0.0,0.6751333475112915
394,eine Stunde,Die Zonenzeiten zweier benachbarter Zonen unterscheiden sich um genau eine Stunde,1.0,0.6757469773292542
177,18. September 1988,Bis 2010,0.0,0.6773015856742859
255,Der Bayou selbst geht im östlichen Stadtgebiet in den bereits erwähnten Kanal über und mündet dann im Golf.,im Golf,1.0,0.6781051754951477
38,das Funktionsprinzip der Dampfmaschine,"Der Physiker Nicolas Carnot erkannte, dass beim Verrichten von mechanischer Arbeit eine Volumenänderung des Dampfs nötig ist. Außerdem fand er heraus, dass die Abkühlung des heißen Wassers in der Dampfmaschine nicht nur durch Wärmeleitung erfolgt",1.0,0.6782322525978088
86,da diese immer nur einen Einzelfall repräsentierten,"Klassischerweise schränken viele Empiristen die intuitiv-deduktive Form des Wissens auf die Verhältnisse zwischen den Begriffen ein, die bestenfalls die Operationen des eigenen Verstandes repräsentieren",0.0,0.6793579459190369
111,„Reflexionen“,Reflections on the Revolution in France,1.0,0.6795749068260193
39,Thayendanegea,Joseph Brant,2.0,0.679729163646698
189,Während des Krieges flohen rund 850.000 Araber aus Palästina,"Zum Teil wurden diese Flüchtlinge durch israelische Streitkräfte vertrieben, zum Teil wurden sie von den arabischen Streitkräften aus strategischen Gründen evakuiert.",0.0,0.6799256801605225
201,"Die göttliche und die menschliche Welt der antiken Römer waren nicht fundamental getrennt – wie in einer monotheistischen Religion mit einem transzendenten Gott – stattdessen sah die römische Bevölkerung ihre Götter an als in der Umgebung real existierend, sie konnten gedacht werden als „vergöttlichtes Naturphänomen“","Die Welt der Römer war geprägt sowohl von großen Göttern wie Jupiter oder Mars, dem in Krieg und Frieden mächtigen Beschützer des Volkes und des Reiches, als auch von kleinen Göttern, die in Bäumen, Bächen oder Quellen lebten oder vielleicht besser: mit ihnen eins waren",1.0,0.6804439425468445
81,"nur bis eine Gigawattstunde pro Jahr die EEG-Umlage in voller Höhe berechnet. Für den Energieanteil zwischen einer und 10 Gigawattstunden sind 10 % der EEG-Umlage zu bezahlen, zwischen 10 und 100 Gigawattstunden nur noch 1 % der EEG-Umlage.","Die Deutsche Bahn AG sah sich bei deren Umsetzung mit Mehrausgaben von jährlich 500 Millionen Euro belastet, von denen 137 Millionen Euro durch den möglichen Entfall der geminderten EEG-Umlage entstehen würden und 350 Millionen Euro durch die mögliche Einführung der EEG-Umlage für selbsterzeugten Strom",0.0,0.6806051731109619
53,das Fehlen des vokalisierten «L»,die Übernahme einiger Wörter aus dem früheren Unterschichtsquartier Matte,0.0,0.6810295581817627
31,Nationalstaatsidee,einem vereinten deutschen Staat,1.0,0.6811915636062622
48,"Zum einen können die Genprodukte der Chromosomen direkt in den Zellen wirken, in denen sie exprimiert werden. Zum anderen bedingen die Gonosomen die Entwicklung der Gonaden, die die Geschlechtshormone bilden.","Geschlechtshormone, wie Testosteron und die Östrogene, wirken nicht nur auf die Keimdrüsen, sondern in vielfältiger Weise auf das gesamte Nervensystem: auf Nervenzellen, Synapsen, Genexpression",0.0,0.683828592300415
30,Großer Schneesturm,wegen eines Unwetters,1.0,0.6843885779380798
213,"Es stellte den Versuch dar, im Sinne des logizistischen Programmes alle wahren mathematischen Aussagen und Beweise auf eine symbolische Logik zurückzuführen.",über Logik,1.0,0.68443363904953
152,antike Kultur,Cicero sowie Quintilian,0.0,0.6863495111465454
89,besonders flüchtig,Medium in der Zeit,0.0,0.6872547268867493
93,16. Dezember 2015,1982,0.0,0.6883310079574585
78,etwas über einer Million Einwohnern,659.433 Einwohnern (2009),0.0,0.6891907453536987
72,Außenrufe und Innenkommandos,Eingabe eines Fahrtwunsches über die Außentableaus (Ruf) oder vom Kabinentableau (Kommando),2.0,0.6892525553703308
141,am Markt und der Angemessenheit,üblicherweise nach der angemessenen Lizenzvergütung,0.0,0.6909866333007812
84,"Im Gegensatz zu den meisten anderen Religionen und zum Synkretismus führte der wachsende Ausschließlichkeitsanspruch des Christentums zur Verweigerung gegenüber dem Kaiserkult und damit der römischen Autorität,","Dies führte zu Maßnahmen gegen die beiden Religionen, die mit dem Polytheismus unvereinbar zu sein schienen",0.0,0.6914882063865662
